"Model","Scenario","Region","Fuel","Period","Rate","Size","Category","Type"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5OECD90+EU","Oil","2020-2030",-0.00571736879204267,12769.13256,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5REF","Total","2020-2030",0.563956374502971,2826.04551,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5REF","Coal","2020-2030",-0.066804614197455,2826.04551,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5REF","Gas","2020-2030",-0.0536422571623767,2826.04551,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","R5REF","Oil","2020-2030",0.000992829022063413,2826.04551,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Total","2020-2030",0.22253151287469,29759.83893,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Coal","2020-2030",-0.205830751114216,29759.83893,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Gas","2020-2030",0.0169854709626952,29759.83893,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Oil","2020-2030",0.00645123048050046,29759.83893,"H2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5ASIA","Total","2020-2030",0.149729400557282,10104.40551,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5ASIA","Coal","2020-2030",-0.332527331437236,10104.40551,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5ASIA","Gas","2020-2030",0.0284854541630525,10104.40551,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5ASIA","Oil","2020-2030",0.0214060173837976,10104.40551,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5LAM","Total","2020-2030",0.30527390660281,1931.57118,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5LAM","Coal","2020-2030",-0.0245502006299349,1931.57118,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5LAM","Gas","2020-2030",0.042038802836145,1931.57118,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5LAM","Oil","2020-2030",0.015791517452647,1931.57118,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5MAF","Total","2020-2030",0.224976928967399,2122.23921,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5MAF","Coal","2020-2030",-0.091996151555413,2122.23921,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5MAF","Gas","2020-2030",-0.0630935473103431,2122.23921,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5MAF","Oil","2020-2030",0.00947712204412622,2122.23921,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5OECD90+EU","Total","2020-2030",0.191297993325221,12772.98009,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5OECD90+EU","Coal","2020-2030",-0.188783804798055,12772.98009,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5OECD90+EU","Gas","2020-2030",0.0329258651494539,12772.98009,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5OECD90+EU","Oil","2020-2030",-0.00578089368962604,12772.98009,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5REF","Total","2020-2030",0.564541961855538,2827.19838,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5REF","Coal","2020-2030",-0.0658144265065687,2827.19838,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5REF","Gas","2020-2030",-0.0544162875475331,2827.19838,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","R5REF","Oil","2020-2030",0.000943294258678798,2827.19838,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Total","2020-2030",0.222444399635554,29758.38048,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Coal","2020-2030",-0.208346402592941,29758.38048,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Gas","2020-2030",0.016864012486744,29758.38048,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Oil","2020-2030",0.00657850517542681,29758.38048,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5ASIA","Total","2020-2030",0.303829413881317,11271.84612,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5ASIA","Coal","2020-2030",0.128319129324665,11271.84612,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5ASIA","Gas","2020-2030",0.00692537843126624,11271.84612,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5ASIA","Oil","2020-2030",0.00591244941516288,11271.84612,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5LAM","Total","2020-2030",0.245982925101592,1862.85735,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5LAM","Coal","2020-2030",0.0165529582820714,1862.85735,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5LAM","Gas","2020-2030",0.0646907504753383,1862.85735,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5LAM","Oil","2020-2030",0.0128695522499347,1862.85735,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5MAF","Total","2020-2030",0.329146576663452,2304.6288,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5MAF","Coal","2020-2030",0.0484691417550627,2304.6288,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5MAF","Gas","2020-2030",0.1499156219865,2304.6288,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5MAF","Oil","2020-2030",0.0520853423336547,2304.6288,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5OECD90+EU","Total","2020-2030",0.163517315042975,12496.95801,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5OECD90+EU","Coal","2020-2030",-0.16138773759071,12496.95801,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5OECD90+EU","Gas","2020-2030",0.0354603544034794,12496.95801,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5OECD90+EU","Oil","2020-2030",-0.00544842832515846,12496.95801,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5REF","Total","2020-2030",0.233967658357902,2332.06155,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5REF","Coal","2020-2030",0.0332827064534382,2332.06155,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5REF","Gas","2020-2030",0.0734387563655856,2332.06155,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","R5REF","Oil","2020-2030",0.00197742636767027,2332.06155,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Total","2020-2030",0.23888440701082,30268.33794,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Coal","2020-2030",-0.0115724233254679,30268.33794,"L2C","2C"
